entityId,entityType,currencyCode,ContextControlContentAvoidance,ContextControlTargeting,BrandSafety,SuspiciousActivity,Viewability,TRAQ,VideoBrandSafety,VideoSuspiciousActivity,VideoViewability
2988741,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988742,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988743,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988744,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988745,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988746,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988748,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988749,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988750,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2989241,Advertiser,ARS,16.28695,16.28695,1.36641,1.36641,2.73282,4.09923,2.73282,2.73282,5.46564
2990736,Advertiser,GBP,0.14897,0.14897,0,0,0,0,0,0,0
2994032,Advertiser,AUD,0.214,0.27137,0.057,0.029,0.114,0.15,0.086,0.057,0.171
2995131,Advertiser,USD,0.2,0.2,0.02,0.02,0.02,0.02,0.1,0.1,0.13
3000941,Advertiser,EUR,0.16568,0.16568,0.03376,0.0422,0.0844,0.1266,0.0844,0.0844,0.1688
3003231,Advertiser,MXN,4.00927,4.00927,0.933793,0.933793,1.867585,2.801378,1.867585,1.867585,3.73517
3004735,Advertiser,EUR,0.16568,0.16568,0.03376,0.0422,0.0844,0.1266,0.0844,0.0844,0.1688
3005876,Advertiser,EUR,0.16568,0.16568,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3005881,Advertiser,EUR,0.16568,0.16568,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3005933,Advertiser,EUR,0.16568,0.16568,0.03376,0.0422,0.0844,0.1266,0.0844,0.0844,0.1688
3007334,Advertiser,NZD,0.28309,0.28309,0.073492,0.073492,0.146985,0.220477,0.146985,0.146985,0.29397
3008031,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3009442,Advertiser,RUB,15.16664,15.16664,3130750,3130750,6261500,9392250,6261500,6261500,12523000
3016333,Advertiser,USD,0.2,0.2,0.05,0.05,0.2,0.7,0.1,0.3,0.2
3016535,Advertiser,EUR,0.16568,0.16568,0.043225,0.043225,0.08645,0.129675,0.08645,0.08645,0.1729
3017536,Advertiser,NZD,0.28309,0.28309,0.07414,0.07414,0.14828,0.22242,0.14828,0.14828,0.29656
3020439,Advertiser,EUR,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3021435,Advertiser,EUR,0.17,0.17,0.03,0.03,0.03,0.03,0.06,0.06,0.14
3022631,Advertiser,GBP,0.14897,0.14897,0,0,0,0,0,0,0
3026631,Advertiser,CHF,0.17995,0.17995,0.04973,0.04973,0.09946,0.14919,0.09946,0.09946,0.19892
3027434,Advertiser,USD,0.2,0.2,0.05,0.01,0.01,0,0.1,0.1,0.2
3028431,Advertiser,USD,0.2,0.2,0.05,0.05,0.05,0.05,0.09,0.09,0.09
3032531,Advertiser,NGN,78.275,78.275,18.1,18.1,36.2,54.3,36.2,36.2,72.4
3032532,Advertiser,MYR,0.2,0.2,0.05,0.05,0.1,0.15,0.1,1,0.2
